City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vila Franca Do Campo,PT,2021-10-03 00:41:13,37.7167,-25.4333,74.19,91,85,7.11
68,Faanui,PF,2021-10-03 00:39:25,-16.4833,-151.75,79.18,73,13,14.34
69,Marystown,CA,2021-10-03 00:42:29,47.1666,-55.1483,56.86,100,59,8.37
70,Lebu,CL,2021-10-03 00:41:30,-37.6167,-73.65,48.54,70,5,17.36
71,Carroll,US,2021-10-03 00:47:41,39.5501,-77.0164,67.66,81,1,0.0
72,Krasnoselkup,RU,2021-10-03 00:47:41,65.7,82.4667,27.32,95,100,10.04
73,Breves,BR,2021-10-03 00:47:42,-1.6822,-50.4803,74.14,95,100,4.12
74,Andra,RU,2021-10-03 00:47:42,62.5147,65.8878,27.5,90,15,7.52
75,Navolato,MX,2021-10-03 00:47:43,24.7672,-107.6944,80.67,69,99,5.64
76,Bredasdorp,ZA,2021-10-03 00:39:30,-34.5322,20.0403,45.28,72,27,5.84
77,Kaeo,NZ,2021-10-03 00:46:04,-35.1,173.7833,67.32,72,100,12.01
78,Iqaluit,CA,2021-10-03 00:40:37,63.7506,-68.5145,31.73,93,1,3.0
79,Buala,SB,2021-10-03 00:47:43,-8.145,159.5921,81.73,81,96,2.28
80,Heihe,CN,2021-10-03 00:47:44,50.2441,127.4902,32.58,70,100,11.39
81,Vila,PT,2021-10-03 00:40:33,42.0304,-8.1588,56.75,94,100,10.31
82,Nikolskoye,RU,2021-10-03 00:40:05,59.7035,30.7861,45.88,95,17,4.83
83,Constitucion,CL,2021-10-03 00:41:39,-35.3333,-72.4167,50.29,54,0,15.86
84,Kingsport,US,2021-10-03 00:42:57,36.5484,-82.5618,72.09,81,75,0.0
85,Huicheng,CN,2021-10-03 00:47:45,23.0385,116.2899,82.35,74,20,14.03
86,Port Elizabeth,ZA,2021-10-03 00:40:35,-33.918,25.5701,50.09,81,75,12.66
87,Ondjiva,AO,2021-10-03 00:47:45,-17.0667,15.7333,59.76,16,32,6.13
88,Ndele,CF,2021-10-03 00:47:46,8.4109,20.6473,70.12,94,100,3.09
89,Lake Havasu City,US,2021-10-03 00:42:09,34.4839,-114.3224,93.24,11,1,3.0
90,Thompson,CA,2021-10-03 00:37:53,55.7435,-97.8558,55.56,82,75,2.3
91,Asfi,MA,2021-10-03 00:47:46,32.2994,-9.2372,66.24,87,25,11.16
92,Dikson,RU,2021-10-03 00:39:55,73.5069,80.5464,33.46,96,100,8.03
93,Guarapari,BR,2021-10-03 00:47:47,-20.6667,-40.4975,76.89,90,8,10.56
94,Lingao,CN,2021-10-03 00:47:47,19.9103,109.6859,81.09,74,7,6.38
95,Sembakung,ID,2021-10-03 00:47:48,3.8167,117.25,78.73,86,100,2.04
96,Santa Isabel Do Rio Negro,BR,2021-10-03 00:47:48,-0.4139,-65.0192,73.78,98,66,1.99
97,Bambanglipuro,ID,2021-10-03 00:42:14,-7.95,110.2833,78.57,73,94,8.61
98,Nelson Bay,AU,2021-10-03 00:47:48,-32.7167,152.15,75.29,55,5,7.09
99,East London,ZA,2021-10-03 00:39:52,-33.0153,27.9116,53.87,60,12,18.01
100,Daitari,IN,2021-10-03 00:47:49,21.1,85.75,75.13,90,22,3.09
101,Molteno,ZA,2021-10-03 00:47:49,-31.3968,26.3625,35.96,71,26,8.97
102,Naze,JP,2021-10-03 00:39:45,28.3667,129.4833,81.52,64,0,16.93
103,Hobyo,SO,2021-10-03 00:47:50,5.3505,48.5268,77.88,88,23,19.35
104,Mayo,US,2021-10-03 00:40:47,38.8876,-76.5119,71.94,89,1,3.0
105,Georgetown,MY,2021-10-03 00:37:46,5.4112,100.3354,81.9,91,20,1.01
106,Laguna De Perlas,NI,2021-10-03 00:47:50,12.3429,-83.6712,78.76,87,100,6.31
107,Upernavik,GL,2021-10-03 00:39:57,72.7868,-56.1549,29.79,71,100,7.14
